type,event,date,cal_close,temp_close,force_close,city_work,schedule,check_in,open
TEMPORARY_CLOSING,start,2021-06-15T20:09:49.816Z,0,1,0,1,2,3,False
TEMPORARY_CLOSING,end,2021-06-15T20:09:59.947Z,0,0,0,1,2,3,True
CHECK_IN,start,2021-06-15T20:09:59.987Z,0,0,0,1,2,4,True
TEMPORARY_CLOSING,start,2021-06-15T20:29:42.655Z,0,1,0,1,2,4,False
TEMPORARY_CLOSING,end,2021-06-15T20:29:52.645Z,0,0,0,1,2,4,True
CHECK_IN,start,2021-06-15T20:29:52.649Z,0,0,0,1,2,5,True
TEMPORARY_CLOSING,start,2021-06-15T20:30:26.397Z,0,1,0,1,2,5,False
TEMPORARY_CLOSING,end,2021-06-15T20:31:06.324Z,0,0,0,1,2,5,True
CHECK_IN,start,2021-06-15T20:31:06.329Z,0,0,0,1,2,6,True
TEMPORARY_CLOSING,start,2021-06-15T20:43:18.965Z,0,1,0,1,2,6,False
CHECK_IN,start,2021-06-15T20:44:44.398Z,0,1,0,1,2,7,False
TEMPORARY_CLOSING,end,2021-06-15T20:44:44.399Z,0,0,0,1,2,7,True
CITY_WORKING,end,2021-06-15T21:00:00.000Z,0,0,0,0,2,7,False
CHECK_IN,start,2021-06-15T21:05:04.153Z,0,0,0,0,2,8,False
TEMPORARY_CLOSING,start,2021-07-21T19:43:12.996Z,0,1,0,0,2,3,False
TEMPORARY_CLOSING,end,2021-07-21T19:43:55.174Z,0,0,0,0,2,3,False
CHECK_IN,start,2021-07-21T19:43:55.181Z,0,0,0,0,2,4,False
TEMPORARY_CLOSING,start,2021-07-21T20:21:44.424Z,0,1,0,0,2,4,False
TEMPORARY_CLOSING,end,2021-07-21T20:21:53.198Z,0,0,0,0,2,4,False
CHECK_IN,start,2021-07-21T20:21:53.205Z,0,0,0,0,2,5,False
TEMPORARY_CLOSING,start,2021-07-21T21:00:17.787Z,0,1,0,0,2,5,False
TEMPORARY_CLOSING,end,2021-07-21T21:00:59.746Z,0,0,0,0,2,5,False
CHECK_IN,start,2021-07-21T21:00:59.810Z,0,0,0,0,2,6,False
CHECK_IN,end,2021-07-21T21:09:00.000Z,0,0,0,0,2,5,False
CHECK_IN,end,2021-07-21T21:09:00.000Z,0,0,0,0,2,4,False
CHECK_IN,end,2021-07-21T21:09:00.000Z,0,0,0,0,2,3,False
CHECK_IN,end,2021-07-21T21:09:00.000Z,0,0,0,0,2,2,False
CHECK_IN,end,2021-07-21T21:09:00.000Z,0,0,0,0,2,1,False
SCHEDULE,end,2021-07-21T21:59:00.000Z,0,0,0,0,1,1,False
SCHEDULE,end,2021-07-21T21:59:00.000Z,0,0,0,0,0,1,False
CHECK_IN,end,2021-07-21T21:59:00.000Z,0,0,0,0,0,0,False
SCHEDULE,start,2021-07-22T10:30:00.000Z,0,0,0,0,1,0,False
SCHEDULE,start,2021-07-22T10:30:00.000Z,0,0,0,0,2,0,False
CHECK_IN,start,2021-07-22T10:30:00.000Z,0,0,0,0,2,1,False
TEMPORARY_CLOSING,start,2021-07-22T14:17:55.636Z,0,1,0,0,2,1,False
TEMPORARY_CLOSING,end,2021-07-22T14:18:05.981Z,0,0,0,0,2,1,False
CHECK_IN,start,2021-07-22T14:18:05.983Z,0,0,0,0,2,2,False
CHECK_IN,start,2021-07-22T21:02:49.846Z,0,0,0,0,2,3,False
CHECK_IN,end,2021-07-22T21:09:00.000Z,0,0,0,0,2,2,False
CHECK_IN,end,2021-07-22T21:09:00.000Z,0,0,0,0,2,1,False
SCHEDULE,end,2021-07-22T21:59:00.000Z,0,0,0,0,1,1,False
SCHEDULE,end,2021-07-22T21:59:00.000Z,0,0,0,0,0,1,False
CHECK_IN,end,2021-07-22T21:59:00.000Z,0,0,0,0,0,0,False
SCHEDULE,start,2021-06-06T10:30:00.000Z,0,0,0,1,1,0,False
SCHEDULE,start,2021-06-06T10:30:00.000Z,0,0,0,1,2,0,False
CHECK_IN,start,2021-06-06T10:30:00.000Z,0,0,0,1,2,1,True
TEMPORARY_CLOSING,start,2021-06-06T11:45:54.973Z,0,1,0,1,2,1,False
TEMPORARY_CLOSING,end,2021-06-06T11:46:22.177Z,0,0,0,1,2,1,True
CHECK_IN,start,2021-06-06T11:46:22.181Z,0,0,0,1,2,2,True
TEMPORARY_CLOSING,start,2021-06-06T12:19:31.108Z,0,1,0,1,2,2,False
TEMPORARY_CLOSING,end,2021-06-06T12:19:45.343Z,0,0,0,1,2,2,True
CHECK_IN,start,2021-06-06T12:19:45.345Z,0,0,0,1,2,3,True
TEMPORARY_CLOSING,start,2021-06-06T17:43:19.464Z,0,1,0,1,2,3,False
TEMPORARY_CLOSING,end,2021-06-06T18:01:27.775Z,0,0,0,1,2,3,True
CHECK_IN,start,2021-06-06T18:01:27.780Z,0,0,0,1,2,4,True
TEMPORARY_CLOSING,start,2021-06-06T19:10:40.146Z,0,1,0,1,2,4,False
TEMPORARY_CLOSING,start,2021-06-06T19:32:26.081Z,0,2,0,1,2,4,False
TEMPORARY_CLOSING,end,2021-06-06T19:40:40.126Z,0,1,0,1,2,4,False
TEMPORARY_CLOSING,end,2021-06-06T20:27:22.478Z,0,0,0,1,2,4,True
CHECK_IN,start,2021-06-06T20:27:22.482Z,0,0,0,1,2,5,True
TEMPORARY_CLOSING,start,2021-06-06T20:28:45.614Z,0,1,0,1,2,5,False
TEMPORARY_CLOSING,end,2021-06-06T20:44:44.093Z,0,0,0,1,2,5,True
CHECK_IN,start,2021-06-06T20:44:44.100Z,0,0,0,1,2,6,True
CITY_WORKING,end,2021-06-06T21:00:00.000Z,0,0,0,0,2,6,False
CHECK_IN,end,2021-06-06T21:09:00.000Z,0,0,0,0,2,5,False
CHECK_IN,end,2021-06-06T21:09:00.000Z,0,0,0,0,2,4,False
CHECK_IN,end,2021-06-06T21:09:00.000Z,0,0,0,0,2,3,False
CHECK_IN,end,2021-06-06T21:09:00.000Z,0,0,0,0,2,2,False
CHECK_IN,end,2021-06-06T21:09:00.000Z,0,0,0,0,2,1,False
CHECK_IN,end,2021-06-06T21:09:00.000Z,0,0,0,0,2,0,False
CHECK_IN,start,2021-06-06T21:16:55.866Z,0,0,0,0,2,1,False
SCHEDULE,end,2021-06-06T21:59:00.000Z,0,0,0,0,1,1,False
SCHEDULE,end,2021-06-06T21:59:00.000Z,0,0,0,0,0,1,False
CHECK_IN,end,2021-06-06T21:59:00.000Z,0,0,0,0,0,0,False
CITY_WORKING,start,2021-06-07T04:00:00.000Z,0,0,0,1,0,0,False
SCHEDULE,start,2021-06-07T10:30:00.000Z,0,0,0,1,1,0,False
SCHEDULE,start,2021-06-07T10:30:00.000Z,0,0,0,1,2,0,False
